experiment,PC1,PC2,PC3,is_outlier
Exp_1,-11.931741034698977,-9.013861101402808,20.02838939890007,False
Exp_2,-2.4702892878534186,-7.498291476339044,14.577959672531774,False
Exp_3,-1.4017380390045693,-4.837266576677522,3.7085979135621723,False
Exp_4,5.28241866699964,-6.174555059696893,13.968887604877587,False
Exp_5,15.921550532955784,-1.5966087755341916,-2.752705044278769,False
Exp_6,13.327524976383126,3.465088084228173,-1.3259617343814938,False
Exp_7,8.172147731118567,-1.6443923576595816,-2.1844585058139923,False
Exp_8,12.009606349701938,-3.0236788031878366,-24.455511696148967,False
Exp_9,-130.20760502476574,2.8954952799296954,-5.298820804820528,True
Exp_10,3.0841436027782976,1.015556906893987,-11.841435945641292,False
Exp_11,11.981459828183134,44.8853274191481,7.057269411195265,False
Exp_12,13.722511699813122,-4.130687810447196,-2.9759826813278947,False
Exp_13,11.514660153811521,-2.536056504899724,-0.5222778861654278,False
Exp_14,13.85815613035818,-4.239035052026468,-0.798331711527458,False
Exp_15,13.451038858337268,-1.5488001009846528,-7.560889725336006,False
Exp_16,14.892481268506586,-2.749670376594115,-0.3638806206004527,False
Exp_17,8.79367358737557,-3.268563694749903,0.7391523549753714,False
